--- NEW SESSION STARTED ---,2025-03-15 13:48:51
2025-03-15 13:49:07,pie,Delicious Desserts (Creative cuisine),View,B,0.2
2025-03-15 13:49:11,pie,"Ready, Set, Dough!: Incredibly Easy and Delicious Ways to Use Store-Bought Doughs",View,B,0.1
2025-03-15 13:49:15,pie,"Ready, Set, Dough!: Incredibly Easy and Delicious Ways to Use Store-Bought Doughs",Buy,B,0.17
--- NEW SESSION STARTED ---,2025-03-15 13:49:59
2025-03-15 13:50:14,pie,Shadow Song,View,A,0.15
2025-03-15 13:50:22,pie,Shadow Song,Buy,A,0.15
2025-03-15 13:50:25,pie,The Carnal Prayer Mat,View,A,0.16
2025-03-15 13:50:29,pie,The Carnal Prayer Mat,Buy,A,0.17
2025-03-15 13:50:32,pie,In Their Wisdom,View,A,0.16
2025-03-15 13:50:35,pie,In Their Wisdom,Buy,A,0.19
--- NEW SESSION STARTED ---,2025-03-15 13:51:22
2025-03-15 13:51:32,pie,The Ideals Country Kitchen Cookbook,View,B,0.02
2025-03-15 13:51:36,pie,Butter Busters,View,B,0.04
2025-03-15 13:51:40,pie,"Neighboring on the Air: Cooking With the KMA Radio Homemakers (Shenandoah, Iowa)",View,B,0.07
--- NEW SESSION STARTED ---,2025-03-15 14:03:03
--- NEW SESSION STARTED ---,2025-03-15 14:08:10
--- NEW SESSION STARTED ---,2025-03-15 14:10:12
--- NEW SESSION STARTED ---,2025-03-15 14:19:27
2025-03-15 14:19:39,pie,The Ideals Country Kitchen Cookbook,View,B,0.12
2025-03-15 14:19:42,pie,The Ideals Country Kitchen Cookbook,Buy,B,0.1
--- NEW SESSION STARTED ---,2025-03-15 14:21:36
--- NEW SESSION STARTED ---,2025-03-15 15:33:08
--- NEW SESSION STARTED ---,2025-03-17 22:35:44
